Observation,Data_Marking,Value_Domain,Observation_Type,Observation_Type_Value,Unit_Of_Measure,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2
13642,,,,,,K02000001,2014,Year,,NACE,"1101 - Distilling, rectifying and blending of spirits",Prodcom Elements,Work done
121279,,,,,,K02000001,2014,Year,,NACE,"1101 - Distilling, rectifying and blending of spirits",Prodcom Elements,Non production income
207596,,,,,,K02000001,2014,Year,,NACE,"1101 - Distilling, rectifying and blending of spirits",Prodcom Elements,Net carry in/carry out
4065091,,,,,,K02000001,2014,Year,,NACE,"1101 - Distilling, rectifying and blending of spirits",Prodcom Elements,Total turnover of businesses classified to this industry
43736,,,,,,K02000001,2014,Year,,NACE,1102 - Manufacture of wine from grapes,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
583,,,,,,K02000001,2014,Year,,NACE,1102 - Manufacture of wine from grapes,Prodcom Elements,Work done
6,,,,,,K02000001,2014,Year,,NACE,1102 - Manufacture of wine from grapes,Prodcom Elements,Waste Products
-1540,,,,,,K02000001,2014,Year,,NACE,1102 - Manufacture of wine from grapes,Prodcom Elements,Net carry in/carry out
45655,,,,,,K02000001,2014,Year,,NACE,1102 - Manufacture of wine from grapes,Prodcom Elements,Total turnover of businesses classified to this industry
859202,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
166,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,All other income
859368,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,Total UK manufacturer sales of products in this product group
34044,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,Work done
2062,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,Non production income
-361115,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,Net carry in/carry out
558735,,,,,,K02000001,2014,Year,,NACE,1103 - Manufacture of cider and other fruit wines,Prodcom Elements,Total turnover of businesses classified to this industry
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,All other income
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Total UK manufacturer sales of products in this product group
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Merchanted goods
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Work done
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Waste Products
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Non production income
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Net carry in/carry out
0,,,,,,K02000001,2014,Year,,NACE,1104 - Manufacture of other non-distilled fermented beverages,Prodcom Elements,Total turnover of businesses classified to this industry
3285923,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
251,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,All other income
3286174,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Total UK manufacturer sales of products in this product group
1009721,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Merchanted goods
68991,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Work done
1388,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Waste Products
82039,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Non production income
496922,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Net carry in/carry out
4945235,,,,,,K02000001,2014,Year,,NACE,1105 - Manufacture of beer,Prodcom Elements,Total turnover of businesses classified to this industry
518581,,,,,,K02000001,2014,Year,,NACE,1106 - Manufacture of malt,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
71236,,,,,,K02000001,2014,Year,,NACE,1106 - Manufacture of malt,Prodcom Elements,Merchanted goods
15681,,,,,,K02000001,2014,Year,,NACE,1106 - Manufacture of malt,Prodcom Elements,Work done
6821,,,,,,K02000001,2014,Year,,NACE,1106 - Manufacture of malt,Prodcom Elements,Waste Products
36960,,,,,,K02000001,2014,Year,,NACE,1106 - Manufacture of malt,Prodcom Elements,Net carry in/carry out
651965,,,,,,K02000001,2014,Year,,NACE,1106 - Manufacture of malt,Prodcom Elements,Total turnover of businesses classified to this industry
4829466,,,,,,K02000001,2014,Year,,NACE,1107 - Manufacture of soft drinks; production of mineral waters and other bottled waters,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
112615,,,,,,K02000001,2014,Year,,NACE,1107 - Manufacture of soft drinks; production of mineral waters and other bottled waters,Prodcom Elements,Merchanted goods
11042,,,,,,K02000001,2014,Year,,NACE,1107 - Manufacture of soft drinks; production of mineral waters and other bottled waters,Prodcom Elements,Non production income
-121877,,,,,,K02000001,2014,Year,,NACE,1107 - Manufacture of soft drinks; production of mineral waters and other bottled waters,Prodcom Elements,Net carry in/carry out
4995052,,,,,,K02000001,2014,Year,,NACE,1107 - Manufacture of soft drinks; production of mineral waters and other bottled waters,Prodcom Elements,Total turnover of businesses classified to this industry
0,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
1614611,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,All other income
1614611,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,Total UK manufacturer sales of products in this product group
0,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,Work done
0,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,Waste Products
0,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,Net carry in/carry out
1878909,,,,,,K02000001,2014,Year,,NACE,12 - Manufacture of tobacco products,Prodcom Elements,Total turnover of businesses classified to this industry
0,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
1614611,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,All other income
1614611,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,Total UK manufacturer sales of products in this product group
0,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,Work done
0,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,Waste Products
0,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,Net carry in/carry out
1878909,,,,,,K02000001,2014,Year,,NACE,1200 - Manufacture of tobacco products,Prodcom Elements,Total turnover of businesses classified to this industry
3800623,,,,,,K02000001,2014,Year,,NACE,13 - Manufacture of textiles,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
458409,,,,,,K02000001,2014,Year,,NACE,13 - Manufacture of textiles,Prodcom Elements,Merchanted goods
111786,,,,,,K02000001,2014,Year,,NACE,13 - Manufacture of textiles,Prodcom Elements,Work done
*********,9216,,,,,,,,,,,,
