Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
433115.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
604100.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
795665.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
309745.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
181145.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
103920.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
69925.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
26620.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
22825.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
7450.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
2554510.0,,,time,Year,2016,UKWARD,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
413945.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
591590.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
778170.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
301520.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
175885.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
100935.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
67950.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
25875.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
22230.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
7310.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
2485410.0,,,time,Year,2016,UKWARD,Geography,K03000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
19170.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
12510.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
17495.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
8225.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
5260.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
2985.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
1975.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
745.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
595.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
140.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
69100.0,,,time,Year,2016,UKWARD,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
386600.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
552940.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
721855.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
279470.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
163050.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
94070.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
63625.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
24300.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
20765.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
6835.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
2313510.0,,,time,Year,2016,UKWARD,Geography,K04000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
27345.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
38650.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
56315.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
22050.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
12835.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
6865.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
4325.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
1575.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
1465.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
475.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
171900.0,,,time,Year,2016,UKWARD,Geography,S92000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
365925.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
530590.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
692015.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
266760.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
156135.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
90505.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
61460.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
23515.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
20095.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
6650.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
2213650.0,,,time,Year,2016,UKWARD,Geography,E92000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
20675.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
22350.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
29840.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
12710.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
6915.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
3565.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
2165.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
785.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
670.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
185.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
99860.0,,,time,Year,2016,UKWARD,Geography,W92000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
9430.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
16690.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
22145.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
8755.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
4865.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
2695.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
1810.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
655.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
565.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
185.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
67795.0,,,time,Year,2016,UKWARD,Geography,E12000001,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
40105.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
59920.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
74730.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
29945.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
17780.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
10255.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
6860.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
2640.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
2250.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
685.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
245170.0,,,time,Year,2016,UKWARD,Geography,E12000002,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
30520.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
41030.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
54440.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
22215.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
12920.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
7715.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
5010.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
1950.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
1665.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
465.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
177930.0,,,time,Year,2016,UKWARD,Geography,E12000003,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
31945.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
41510.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
50645.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
21050.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
12105.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
6985.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
4765.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
1845.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
1445.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
405.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
172700.0,,,time,Year,2016,UKWARD,Geography,E12000004,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0005220
35970.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007320
48020.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007322
58765.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007323
24350.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007324
14635.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0007325
8565.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012767
5720.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012768
2175.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012769
1790.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012770
560.0,,,time,Year,2016,UKWARD,Geography,E12000005,CL_0000779,Entity type,CI_0011438,CL_0000782,Turnover size band,CI_0012771
