Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
414780.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
574960.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
757715.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
305230.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
176835.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
100335.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
66210.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
25055.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
21260.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
7035.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
2449415.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
396190.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
562725.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
740765.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
297260.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
171710.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
97520.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
64265.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
24335.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
20700.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
6900.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
2382370.0,,,time,Year,2015,2013WARDH,Geography,K03000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
18590.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
12235.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
16950.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
7970.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
5125.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
2815.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
1945.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
720.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
560.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
135.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
67045.0,,,time,Year,2015,2013WARDH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
369680.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
525330.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
685515.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
275050.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
159005.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
90815.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
60120.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
22815.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
19320.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
6445.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
2214095.0,,,time,Year,2015,2013WARDH,Geography,K04000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
26510.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
37395.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
55250.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
22210.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
12705.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
6705.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
4145.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
1520.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
1380.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
455.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
168275.0,,,time,Year,2015,2013WARDH,Geography,S92000003,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
349625.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
503565.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
656205.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
262345.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
152155.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
87335.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
58045.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
22060.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
18685.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
6275.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
2116295.0,,,time,Year,2015,2013WARDH,Geography,E92000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
20055.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
21765.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
29310.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
12705.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
6850.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
3480.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
2075.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
755.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
635.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
170.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
97800.0,,,time,Year,2015,2013WARDH,Geography,W92000004,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
9150.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007320
15910.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007322
21455.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007323
8645.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007324
4880.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0007325
2620.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012767
1715.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012768
650.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012769
545.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012770
165.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0012771
65735.0,,,time,Year,2015,2013WARDH,Geography,E12000001,CL_0000779,Entity type,CI_0007554,CL_0000782,Turnover size band,CI_0005220
