Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
53493729.0,,,time,Year,2012,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
53843597.0,,,time,Year,2013,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
54227859.0,,,time,Year,2014,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
54613417.0,,,time,Year,2015,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
55019793.0,,,time,Year,2016,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
55414470.0,,,time,Year,2017,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
55811753.0,,,time,Year,2018,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
56198276.0,,,time,Year,2019,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
56582078.0,,,time,Year,2020,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
56962135.0,,,time,Year,2021,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
57337754.0,,,time,Year,2022,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
57708199.0,,,time,Year,2023,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
58072641.0,,,time,Year,2024,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
58430475.0,,,time,Year,2025,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
58781069.0,,,time,Year,2026,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
59124036.0,,,time,Year,2027,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
59459312.0,,,time,Year,2028,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
59786788.0,,,time,Year,2029,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
60106514.0,,,time,Year,2030,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
60418750.0,,,time,Year,2031,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
60723891.0,,,time,Year,2032,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
61022450.0,,,time,Year,2033,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
61315135.0,,,time,Year,2034,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
61602742.0,,,time,Year,2035,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
61886072.0,,,time,Year,2036,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
62165977.0,,,time,Year,2037,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005466
27160281.0,,,time,Year,2012,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005560
27314089.0,,,time,Year,2013,2012WARDH,Geographic_Hierarchy,E92000001,CL_0000667,Age,CI_0014694,CL_0000712,Sex,CI_0005560
