Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5
1.2456,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000032,,age,49,,sex,Male
0.0366,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,0,,sex,Male
0.1428,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,0,,sex,Female
2.4162,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,1,,sex,Male
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,1,,sex,Female
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,2,,sex,Male
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,2,,sex,Female
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,3,,sex,Female
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,7,,sex,Male
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,8,,sex,Male
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,9,,sex,Female
3.6243,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,12,,sex,Male
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,12,,sex,Female
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,13,,sex,Male
1.2081,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,15,,sex,Female
2.4162,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,17,,sex,Female
2.4162,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,19,,sex,Male
2.4162,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,19,,sex,Female
2.4162,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,20,,sex,Male
3.6243,,,time,Year,2012,2011WARDH,Leaving,E07000223,2011WARDH,Arriving,E07000224,,age,20,,sex,Female
