Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5
221490.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0007320
400015.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0007322
507355.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0007323
193315.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0007324
129010.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0007325
80315.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0012767
56880.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0012768
22085.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0012769
19460.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0012770
6210.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0012771
1636135.0,,,time,Year,2015,2013WARDH,Geography,K02000001,CL_0000779,Entity type,CI_0011438,CL_0000781,Legal status,CI_0007200,CL_0000782,Turnover size band,CI_0005220
