Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5
66645.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0005220
19055.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007320
12310.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007322
16540.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007323
7920.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007324
4930.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007325
4530.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007326
1360.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007327
1855.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0005220
480.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007320
380.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007322
445.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007323
230.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007324
150.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007325
120.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007326
50.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007327
2400.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0005220
575.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007320
515.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007322
650.0,,,time,Year,2014,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0011438,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007323
